Questions,Answers
should i wear a mask to protect myself,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so WHO urges people to use masks wisely.
WHO advises rational use of medical masks to avoid unnecessary wastage of precious resources and mis-use of masks  (see Advice on the use of masks).
The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. See basic protective measures against the new coronavirus for more information For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
how to put on use take off and dispose of a mask,"Remember, a mask should only be used by health workers, care takers, and individuals with respiratory symptoms, such as fever and cough.
Before touching the mask, clean hands with an alcohol-based hand rub or soap and water
Take the mask and inspect it for tears or holes.
Orient which side is the top side (where the metal strip is).
Ensure the proper side of the mask faces outwards (the coloured side).
Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it moulds to the shape of your nose.
Pull down the mask’s bottom so it covers your mouth and your chin.
After use, take off the mask; remove the elastic loops from behind the ears while keeping the mask away from your face and clothes, to avoid touching potentially contaminated surfaces of the mask.
Discard the mask in a closed bin immediately after use.
Perform hand hygiene after touching or discarding the mask – Use alcohol-based hand rub or, if visibly soiled, wash your hands with soap and water. For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
how long is the incubation perod for covid,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available. For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
can humans become infected with the covid from an animal source,"Coronaviruses are a large family of viruses that are common in animals. Occasionally, people get infected with these viruses which may then spread to other people. For example, SARS-CoV was associated with civet cats and MERS-CoV is transmitted by dromedary camels. Possible animal sources of COVID-19 have not yet been confirmed.  
To protect yourself, such as when visiting live animal markets, avoid direct contact with animals and surfaces in contact with animals. Ensure good food safety practices at all times. Handle raw meat, milk or animal organs with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked animal products. For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
can i catch covid from my pet,"While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks. To protect yourself, clean your hands frequently and thoroughly. 
WHO continues to monitor the latest research on this and other COVID-19 topics and will update as new findings are available. For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
how long does the virus survive on surfaces,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment).
If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others. Clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose. For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
is it safe to receive a packae from any area where covid has been reported,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.  For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
is there anything i should not do,"The following measures ARE NOT effective against COVID-2019 and can be harmful:
Smoking
Wearing multiple masks
Taking antibiotics (See question 10 ""Are there any medicines of therapies that can prevent or cure COVID-19?"")
In any case, if you have fever, cough and difficulty breathing seek medical care early to reduce the risk of developing a more severe infection and be sure to share your recent travel history with your health care provider. For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
is the source of the coronavirus causing covid known,"Currently, the source of SARS-CoV-2, the coronavirus (CoV) causing COVID-19 is unknown. All available evidence suggests that SARS-CoV-2 has a natural animal origin and is not a constructed virus. SARS-CoV-2 virus most probably has its ecological reservoir in bats. SARS-CoV-2, belongs to a group of genetically related viruses, which also include SARS-CoV and a number of other CoVs isolated from bats populations. MERS-CoV also belongs to this group, but is less closely related. For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
how did the first human sars cov infections occcur,"The first human cases of COVID-19 were identified in Wuhan City, China in December 2019. At this stage, it is not possible to determine precisely how humans in China were initially infected with SARS-CoV-2.
However, SARS-CoV, the virus which caused the SARS outbreak in 2003, jumped from an animal reservoir (civet cats, a farmed wild animal) to humans and then spread between humans. In a similar way, it is thought that SARS-CoV-2 jumped the species barrier and initially infected humans, but more likely through an intermediate host, that is another animal species more likely to be handled by humans - this could be a domestic animal, a wild animal, or a domesticated wild animal and, as of yet, has not been identified.
Until the source of this virus is identified and controlled, there is a risk of reintroduction of the virus in the human population and the risk of new outbreaks like the ones we are currently experiencing. For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
is covid airborne,"The virus that causes COVID-19 is mainly transmitted through droplets generated when an infected person coughs, sneezes, or speaks. These droplets are too heavy to hang in the air. They quickly fall on floors or surfaces. 
You can be infected by breathing in the virus if you are within 1 metre of a person who has COVID-19, or by touching a contaminated surface and then touching your eyes, nose or mouth before washing your hands. For more information, please visit https://www.who.int/news-room/q-a-detail/q-a-coronaviruses"
i got my flu shot this year can it help me warding off or dealing with covid,"The flu vaccine is a very good thing to get every year because it helps reduce the chances of getting the seasonal flu. However, the flu shot does not confer any protection against COVID-19. Despite similar symptoms, the flu shot will not prevent or reduce the severity of COVID-19. For more information, please visit (courtesy of Dr. Adam Kassam, a Toronto-based physician who writes about health care and public: https://ottawacitizen.com/opinion/columnists/kassam-your-covid-19-questions-answered-today-the-flu-shot/ policy): "
what s important to know is that getting a flu shot will have the indirect effect of helping with our health care system s covid response,"If we reduce the likelihood of seasonal flu and patients needing to be seen in clinics and hospitals, our health care workers will be able to focus their efforts on increasing capacity while treating the surge of COVID-19 patients they are seeing. For more information, please visit https://www.health.harvard.edu/diseases-and-conditions/covid-19-basics"
is there a vaccine for coronavirus,"Developing new vaccines takes time and they must be rigorously tested and confirmed safe via clinical trials before they can be routinely used in humans. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases in the US, has commonly stated a vaccine is at least a year to 18 months away. Experts agree there's a ways to go yet.   
However, there is great progress being made in this regard and a number of vaccine candidates have appeared in the time since COVID-19 was discovered. We've collated everything we know about potential vaccines and current treatment options that are being used around the world.
In developing a vaccine that targets SARS-CoV-2, scientists are looking at the spike proteins intensely. These proteins, which are present on the surface of the virus, enable it to enter human cells where it can replicate and make copies of itself. Researchers have been able to map the projections in 3D and research suggests they could be a viable antigen -- a fragment that stimulates the human body's immune system -- in any potential coronavirus vaccine. 
The protein is prevalent in coronaviruses we've battled in the past, too -- including the one that caused the SARS outbreak in China in 2002-2003. This has given researchers a head start on building vaccines against part of the spike protein and, using animal models, they have already demonstrated an immune response.
Notably, SARS, which infected around 8,000 people and killed around 800, seemed to run its course and then mostly disappear. It wasn't a vaccine that turned the tide on the disease but rather effective communication between nations and a range of tools that helped track the disease and its spread. 
""We learnt that epidemics can be controlled without drugs or vaccines, using enhanced surveillance, case isolation, contact tracking, PPE and infection control measures,"" MacIntyre said. For more information, please visit https://www.cnet.com/how-to/coronavirus-explained-all-your-questions-about-covid-19-answered/"
do people develop immunity,"Vaccines help a person to generate an immune response against an infection without first being exposed to the pathogen. Studies of other coronaviruses, such as the four that cause some common colds, lead most researchers to assume that people who have recovered from SARS-CoV-2 infection will be protected from reinfection for a period of time. But that assumption needs to be backed by evidence, says Michael Diamond, a viral immunologist at Washington University in St. Louis, Missouri. “We don’t know that much about immunity to this virus.”A preprint1 posted online on 14 March by a team based in China looked at two rhesus macaques (Macaca mulatta) that had recovered from SARS-CoV-2 infection, which caused them only mild illness. The monkeys did not seem to become re-infected when researchers exposed them to the virus for a second time four weeks after their initial exposure. Researchers will be looking for evidence that humans react in the same way, for instance by studying people potentially exposed multiple times, Diamond says. For more information, please visit https://www.nature.com/articles/d41586-020-00798-8"
if humans do develop immunity how long does it last,"That’s another big unknown. Immunity is short-lived for the coronaviruses that cause common colds; even people who have high levels of antibodies against these viruses can still become infected, says Stanley Perlman, a coronavirologist at the University of Iowa in Iowa City.

The evidence is more equivocal for the two other coronaviruses that have triggered epidemics: those that cause severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS). Perlman says his team has found that after people recover from MERS, their antibodies against the virus drop precipitously. He also says that his team has gathered data — not yet published — showing that SARS antibodies are still present in the body 15 years after infection. But it’s not clear whether this immune response is enough to prevent reinfection. “We don’t have good evidence of long-lasting immunity, but we also don’t have really good data from both SARS and MERS,” Perlman adds. For more information, please visit https://www.nature.com/articles/d41586-020-00798-9"
what kind of immune response should vaccine developers look for,"The phase I trial that began this week focuses on the safety of a vaccine developed by Moderna, a company based in Cambridge, Massachusetts. But researchers will also look closely at the nature of the immune response the vaccine summons.

The Moderna vaccine consists of an RNA molecule. Like many of the other SARS-CoV-2 vaccines in development, it is designed to train the immune system to make antibodies that recognize and block the spike protein that the virus uses to enter human cells.

“I think it’s reasonable as a first pass, but we will learn that, perhaps, antibody responses to the spike exclusively may not be the whole story,” says Diamond. A successful SARS-CoV-2 vaccine might need to prompt the body to generate antibodies that block other viral proteins, for instance, or make T cells that can recognize and kill infected cells. For more information, please visit https://www.nature.com/articles/d41586-020-00798-10"
how do we know if a vaccine is likely to work,"Normally, vaccines go into human trials after tests for safety and effectiveness in animals. But the Moderna vaccine and another being developed by Inovio Pharmaceuticals in Plymouth Meeting, Pennsylvania, are being tested in animals at the same time as human phase I trials are happening. Inovio plans to begin its first human trial in April.

“In a non-emergency situation you might do this in a more serial way, but in this case a lot of things are being done in parallel,” says Barney Graham, deputy-director of the US National Institutes of Health (NIH) Vaccine Research Center in Bethesda, Maryland, which is sponsoring the Moderna vaccine trial.

In a 2 March preprint2, researchers reported injecting Inovio’s vaccine — a DNA molecule carrying instructions to make the spike protein — into mice and guinea pigs. They found that the animals produced both antibodies and T cells against the virus. Study leader Kate Broderick, Inovio’s senior vice-president for preclinical research and development, says that her team has now given the vaccine to monkeys and is soon to start studies in which vaccinated animals are infected with the virus to see whether they are protected. Such ‘challenge’ studies are also in the works for the Moderna vaccine, says Graham.

He adds that large, costly trials of whether a vaccine can prevent infections in people won’t proceed without such data from animals. Diamond expects that as researchers learn more about the infection from both human and animal studies, they will get a better sense of which vaccines are likely to work best. “It may not be the most efficient way to do it. But it may be the most expedient way to generate a vaccine,” says Diamond. For more information, please visit https://www.nature.com/articles/d41586-020-00798-11"
will it be safe,"Because they are given to large numbers of healthy people, vaccines usually have a higher bar for safety than do drugs administered to people who are already ill. With SARS-CoV-2 vaccines, researchers’ main safety concern is to avoid a phenomenon called disease enhancement, in which vaccinated people who do get infected develop a more severe form of the disease than people who have never been vaccinated. In studies of an experimental SARS vaccine reported3 in 2004, vaccinated ferrets developed damaging inflammation in their livers after being infected with the virus.

Peter Hotez, a vaccine scientist at Baylor College of Medicine in Houston, Texas, thinks potential vaccines should be tested in animals first to rule out disease enhancement, before trials move on to humans. He says he understands the reasoning for pushing SARS-CoV-2 vaccines to human tests quickly, but adds that, because of the possibility that a vaccine could enhance disease, “I’m not sure this is the vaccine you want to do it for”.

In testing the Moderna vaccine, Graham says, the NIH will move to larger human studies only once human and animal studies confirm that the vaccine is safe. He says the risk of enhancement is low, but “the risk of not getting vaccines advanced quickly — so that we can have something available for the next winter season to at least test in the field — that risk is fairly high”. For more information, please visit https://www.nature.com/articles/d41586-020-00798-12"
can employees be restricted from traveling to impacted countries,"At this point, there have been numerous countries around the world impacted by the coronavirus. While employers can limit business travel or cancel company events, employees who plan to travel for personal reasons cannot be restricted from doing so. That said, as an employer, you may ask employees to notify you prior to any overseas travel. Furthermore, you may be able to take additional steps to ensure the safety of everyone who is employed at your facility, such as implementing a work-from-home policy or other limited staffing plan. For more information, please visit https://hrexecutive.com/answering-your-legal-questions-about-coronavirus/"
can i legally restrict visitors to the workplace amid coronavirus concerns,"While you likely have the right to insist that anyone who has a fever or flu symptoms not visit your work facilities, it is advisable to ensure that any such policy is applied uniformly across all demographic groups. This includes contractors, vendors and visitors. A posted policy should be visible to anyone entering your facility. You may wish to consider a hand-held temperature-screening device, provided the use of such a device is legal in your state. A local lawyer can help you determine what is legal and appropriate in your specific situation. For more information, please visit https://hrexecutive.com/answering-your-legal-questions-about-coronavirus/"
does fmla apply to employees who need to take off due to coronavirus illness,"If the Family and Medical Leave Act of 1993 (FMLA) guidelines apply to your business, employees may have leave benefits available to them. The reason the coronavirus likely qualifies is that it is classified as a “serious health condition.” Keep in mind, this may also apply if the employee requires time off to care for an immediate family member.

It is important to note that there may also be state laws that apply, especially for those companies that aren’t subject to FMLA. A local attorney can explain which laws apply to your business. For more information, please visit https://hrexecutive.com/answering-your-legal-questions-about-coronavirus/"
would my company be liable if an employee contracts coronavirus at work,"Employees who contract coronavirus on the job, particularly healthcare workers, may be entitled to collect workers’ compensation. Because of this, employers may be responsible for covering medical bills associated with the disease if an employee becomes ill due to contact with someone in the workplace. You may need to ensure you have spoken with a medical professional to assist you in determining if there is a relationship between the job and the employee being stricken with the virus.Employees may also be entitled to disability payments if such benefits are part of your overall benefits plan. Make sure you have verified any limits on coverage and plan for any resources you may need to administer the program. Your insurance-plan provider may have additional guidance.

Lastly, employers should always seek to reduce potential tort claims by following commercially reasonable practices. For example, if a particular geographic area or industry is affected disproportionately by illness, employers may collectively take extraordinary measures. It’s probably not a good idea to be the outlier in that case. For more information, please visit https://hrexecutive.com/answering-your-legal-questions-about-coronavirus/"
do i need to pay an employee who misses work due to being quarantined,"Whether an employee must be paid during quarantine will depend, in large part, on the benefits that you offer in relation to sick leave and applicable law (like FMLA). If you have workers who are exempt and they show up for work during any given week and you send them home, you may still be required to pay them for the entire work week. Employees who have a specific number of sick days and/or personal days may also elect to use those benefits during a period they are quarantined.

This is a good time to review your current benefits offering and see how many employees have accumulated paid sick and personal leave time. Having this information can be helpful to ensure your business is not negatively impacted in the event numerous employees opt to take time off during a potential outbreak or threat to their health in the workplace.

It is also important to note that your state may have its own “sick leave” law that applies. An employment lawyer can help you determine if your policy meets the legal standards in your state. For more information, please visit https://hrexecutive.com/answering-your-legal-questions-about-coronavirus/"
how can i communicate my global health emergency policy as an employer,"Your company emergency policies should be clearly spelled out in your Employee Handbook. This can help ensure that employees at all levels understand what steps you believe will keep your workplace safe for everyone.

While your HR policies should ideally always be up-to-date, this is a great time to review all of the HR documents your company uses. It is always a good idea to work with a lawyer when drafting or revising human resources policy.

Ensuring that employees practice regular hand washing and that your facilities are properly cleaned may also help curb potential spreading of the virus. In order to help your team feel safe, keep hand sanitizer and disinfectant on hand, and ensure that your restrooms are stocked with the appropriate soap, towels and toiletries. Additional guidance for businesses and employers can be found through the Centers for Disease Control & Prevention. For more information, please visit https://hrexecutive.com/answering-your-legal-questions-about-coronavirus/"
are there any tests that i can purchase to test myself at home for covid,"At this time, the FDA has not authorized any test that is available to purchase for testing yourself at home for COVID-19. The FDA sees the public health value in expanding the availability of COVID-19 testing through safe and accurate tests that may include home collection, and we are actively working with test developers in this space. In the other FAQs on this page you can find listings of tests that have received an EUA authorization as well as labs and manufacturers that have notified FDA as set forth in the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019. For more information, please visit https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-2"
what tests for covid have received emergency use authorization,"All in vitro diagnostic tests that have received an Emergency Use Authorization (EUA) are listed on the EUA page. For more information, please visit https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-3"
what laboratories are offering testing under the policy outlined in section iv a of the policy for diagnostic tests for coronavirus disease,"As stated in Section IV.A of the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019, for laboratories certified under CLIA to perform high-complexity testing, the FDA does not intend to object to the use of validated tests for specimen testing for a reasonable period of time after validation while the laboratory is preparing an EUA request. As noted in the guidance, FDA believes 15 business days is a reasonable period of time to prepare an EUA submission for a test that has already been validated.

Many commercial and healthcare system/academic laboratories have notified the FDA that they have validated their own COVID-19 test and have started patient testing as set forth in Section IV.A of the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019. The laboratories listed below have agreed to be identified on the FDA's website. The FDA has not yet reviewed the laboratory's validation of tests offered under this policy or issued EUAs for these laboratories' tests and is including this list here to provide transparency regarding the notifications submitted to FDA. For more information, please visit https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-4"
what states or territories have chosen to authorize laboratories within that state or territory to develop and perform a test for covid under the policy outlined in section iv b of the policy for diagnostic tests for coronavirus disease,"As stated in Section IV.B of the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019, a State or territory choosing to authorize laboratories within that State or territory to develop and perform a test for COVID-19 would do so under authority of its own State law, and under a process that it establishes. As noted in the guidance, FDA does not intend to object to the use of such tests for specimen testing where the notification of SARS-CoV-2 test validation is not submitted to FDA and the laboratory does not submit an EUA request to FDA, and where instead the State or territory takes responsibility for COVID-19 testing by laboratories in its State/territory during the COVID-19 outbreak.

The States and territories listed below have notified FDA that they choose to use this flexibility to expedite COVID-19 testing. As stated in the guidance, the FDA will not be reviewing the process adopted by the State or territory under this policy and is including this list here to provide transparency regarding the notifications submitted to FDA. For more information, please visit https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-5"
what commercial manufacturers are distributing test kits under the policy outlined in section iv c of the policy for diagnostic tests for coronavirus disease,"As stated in Section IV.C of the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019, the FDA does not intend to object to a commercial manufacturer's development and distribution of SARS-CoV-2 test kits for specimen testing for a reasonable period of time after the manufacturer's validation of the test and while the manufacturer is preparing its EUA request where the manufacturer provides instructions for use of the test and posts data about the test's performance characteristics on the manufacturer's website. Transparency can help mitigate potential adverse impacts from a poorly designed test by facilitating better informed decisions by potential purchasers and users. As noted in the guidance, FDA believes that 15 business days is a reasonable period of time to prepare an EUA submission for a test whose performance characteristics have already been validated. This policy does not apply to at home testing.

The commercial manufacturers listed below have notified FDA that they have validated and are distributing test kits as set forth in Section IV.C of the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019. The FDA has not yet reviewed the validation of the tests of these manufacturers or issued EUAs for these manufacturers' tests and is including this list here to provide transparency regarding the notifications submitted to FDA. For more information, please visit https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-6"
what serology tests are being offered under the policy outlined in section iv d of the policy for diagnostic tests for coronavirus disease,"As stated in Section IV.D of the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019, the FDA does not intend to object to the development and distribution by commercial manufacturers, or development and use by laboratories, of serology tests to identify antibodies to SARS-CoV-2, where the test has been validated, notification is provided to FDA, and information along the lines of the following is included in the test reports:

This test has not been reviewed by the FDA.
Negative results do not rule out SARS-CoV-2 infection, particularly in those who have been in contact with the virus. Follow-up testing with a molecular diagnostic should be considered to rule out infection in these individuals.
Results from antibody testing should not be used as the sole basis to diagnose or exclude SARS-CoV-2 infection or to inform infection status.
Positive results may be due to past or present infection with non-SARS-CoV-2 coronavirus strains, such as coronavirus HKU1, NL63, OC43, or 229E.
This policy does not apply to at home testing.

The commercial manufacturers and laboratories listed below have notified FDA that they have validated and are offering serology tests as set forth in Section IV.D of the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019. The FDA has not reviewed the validation of tests offered by these developers, who will not be pursuing EUAs, and is including this list here to provide transparency regarding the notifications submitted to FDA. For more information, please visit https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-7"
when fda authorizes under an eua a sars cov test for use at the point of care does that mean it is clia waived,"Yes.  The settings in which an EUA-authorized test may be used are described in the Letter of Authorization.  As discussed in the Guidance for Industry and Other Stakeholders: Emergency Use Authorization of Medical Products and Related Authorities, when the FDA authorizes point of care tests (including SARS-CoV-2 point of care test systems) under an EUA, such tests are deemed to be CLIA waived tests.  Accordingly, for the duration of the emergency declaration, such tests can be performed in a patient care setting that is qualified to have the test performed there as a result of operating under a CLIA Certificate of Waiver or Certificate of Compliance.

We note that the term point of care in the EUAs may include settings such as hospitals, physician offices, urgent care, outreach clinics, and temporary patient care settings that have appropriately trained personnel to perform the test and are operating under a CLIA Certificate of Waiver or Certificate of Compliance. These terms generally do not apply to home specimen collection or at home testing unless otherwise specified.  For more information, please visit https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-8"
when tests are offered prior to or without an eua under the fda s policy for diagnostic tests for coronavirus disease what is their clia categorization,"Tests being offered prior to or without an EUA under the policies outlined in the FDA's Policy for Diagnostic Tests for Coronavirus Disease-2019 that have not yet been reviewed by the FDA, are not FDA authorized, and have not received a CLIA categorization.  While FDA has indicated that such tests may be appropriate for use in clinical laboratories and by healthcare workers at the point of care, the policies in the Policy for Diagnostic Tests for Coronavirus Disease-2019 do not provide a CLIA categorization and do not override any CLIA requirements.  Therefore, in accordance with CLIA, tests offered under these policies are considered high complexity by default until or unless they are authorized and deemed to be appropriate, through an EUA authorization or general FDA review processes, to be performed as moderate or waived complexity tests.
 
Laboratories using tests being marketed under the FDA’s EUA policy should be mindful of CLIA requirements which are enforced by CMS and certain State authorities, and CMS guidance for laboratories during the COVID-19 public health emergency. Under CMS guidance, if a facility has the appropriate CLIA certificates and follows applicable CLIA regulations, state regulations and guidelines, the laboratory’s CLIA certificate can be extended to cover testing in areas outside of the designated primary site or home base such as contiguous buildings, or any other designated temporary overflow location in its facility or temporary remote location, such as a parking lot. For more information, please visit https://www.fda.gov/medical-devices/emergency-situations-medical-devices/faqs-diagnostic-testing-sars-cov-9"
